Puzzle Difficulty,Elapsed Time (ns)
0.235,2009094
0.284,1689577
0.309,465917
0.210,8505749
0.259,1028089
0.296,2666370
0.309,2375922
0.210,3878515
0.210,1301778
0.284,911202
0.296,297442
0.284,2920933
0.296,175423
0.284,2908764
0.296,816535
0.284,557025
0.284,219340
0.272,1053295
0.284,561266
0.210,5568122
0.210,1557772
0.210,508639
0.210,64494135
0.210,1755570
0.272,9133717
0.210,140349702
0.284,331924
0.284,1535678
0.272,5399629
0.272,62684
0.309,842561
0.210,7327767
0.210,66000183
0.259,2768287
0.210,73149388
0.272,8797523
0.296,150754
0.284,892269
0.210,6875363
0.284,99305
0.210,15573096
0.210,2678202
0.296,650927
0.210,55337063
0.210,46664295
0.284,68197
0.284,586941
0.210,2400745
0.272,562375
0.296,526274
0.284,1215529
0.210,12879450
0.309,1441776
0.272,2229888
0.272,8883877
0.210,66085395
0.296,1431302
0.210,4131352
0.210,18119919
0.210,1901404
0.210,957134
0.210,8436088
0.284,5579191
0.284,1168927
0.272,3812557
0.272,8176331
0.296,3325454
0.272,473173
0.284,2269486
0.210,4393871
0.309,1124670
0.284,4224473
0.210,52733246
0.259,4359404
0.284,1215849
0.296,495157
0.284,1051359
0.296,2470433
0.272,1730991
0.210,6277688
0.284,5484532
0.259,1468121
0.296,1653025
0.309,700553
0.284,2758834
0.210,85153818
0.272,804397
0.210,2854372
0.259,3722688
0.284,1021994
0.210,765744
0.284,67845
0.284,1945470
0.272,4064582
0.259,1373842
0.284,833495
0.284,1688488
0.296,1152057
0.210,93155364
0.296,2896386
0.309,580109
0.210,3298893
0.210,1056200
0.284,609424
0.296,198682
0.284,2189094
0.284,676448
0.284,1271651
0.284,198472
0.321,286376
0.272,5644220
0.272,3231778
0.309,2004311
0.309,3581421
0.296,685475
0.296,203462
0.296,1885134
0.272,7157733
0.296,1001615
0.259,127474
0.284,1996946
0.272,472042
0.272,3789622
0.210,3170391
0.272,1398418
0.309,939914
0.259,5269908
0.296,6355437
0.210,2568030
0.259,2143521
0.309,2036456
0.284,7970615
0.210,1319293
0.309,340636
0.284,477959
0.284,558155
0.284,240944
0.284,16626632
0.296,4453874
0.296,400515
0.284,385165
0.296,4068780
0.284,888002
0.235,2375371
0.272,3281699
0.284,9782102
0.284,672737
0.296,3767475
0.272,582797
0.272,3393804
0.284,2989286
0.210,5091223
0.272,1248535
0.284,1578557
0.309,1283027
0.272,1212902
0.259,1771821
0.296,671986
0.235,2506036
0.210,6901150
0.296,1609395
0.272,1104313
0.210,55024336
0.272,643143
0.272,3150033
0.296,658222
0.210,15048266
0.272,663152
0.284,300614
0.210,416138
0.321,139377
0.309,882074
0.210,1616385
0.309,405278
0.296,2175375
0.296,319855
0.284,1149276
0.284,3104487
0.284,1357526
0.210,2201693
0.272,163446
0.284,1819661
0.296,429202
0.210,4979564
0.272,7405331
0.272,1690368
0.210,4908856
0.284,3864962
0.296,248468
0.284,8827659
0.210,469741
0.296,474210
0.296,1987986
0.272,161632
0.309,60764
0.272,532118
0.296,96460
0.210,7124977
0.296,511321
0.284,3211761
0.284,1306669
0.272,4660933
0.296,1515441
0.284,1481803
0.210,704277
0.321,1710314
0.284,3585757
0.259,1209499
0.259,629258
0.284,1115358
0.296,9000048
0.284,11225322
0.284,2919835
0.309,916699
0.296,313297
0.259,3367193
0.284,418215
0.284,619102
0.210,12602465
0.272,967777
0.309,166083
0.296,506899
0.296,2396185
0.296,1990220
0.272,5669348
0.284,656175
0.284,6386947
0.284,3639022
0.296,2171332
0.309,943258
0.210,325675
0.296,515300
0.296,359801
0.296,255375
0.272,3376286
0.272,3716852
0.321,856805
0.296,2503927
0.284,1892782
0.296,2645973
0.210,420021
0.296,1244776
0.210,1380979
0.210,5609240
0.321,172166
0.284,3246204
0.259,9528948
0.284,583836
0.272,1983560
0.210,4720385
0.210,870358
0.309,1106906
0.309,407617
0.272,274297
0.296,566830
0.296,1473620
0.272,4394993
0.284,3113835
0.296,1049289
0.272,328678
0.296,3065583
0.296,125742
0.309,453000
0.296,329051
0.210,10384588
0.284,114214
0.259,1371443
0.284,894412
0.296,459282
0.296,1072550
0.284,357270
0.284,645284
0.309,1231417
0.272,1036117
0.296,522890
0.296,2012504
0.296,4240439
0.309,1072521
0.284,3405504
0.284,1013884
0.272,11725371
0.296,2016905
0.284,937273
0.259,613059
0.321,168588
0.296,3662984
0.284,392112
0.296,1240276
0.284,1907876
0.296,932682
0.272,3794076
0.296,1510024
0.321,142746
0.272,157298
0.284,5241154
0.259,1054797
0.272,1960173
0.284,543574
0.296,191466
0.296,2665489
0.296,525649
0.296,811025
0.247,9203463
0.210,4828313
0.309,214773
0.296,1252834
0.296,961099
0.284,2169049
0.296,580933
0.272,3759529
0.296,1639935
0.296,891911
0.296,3029939
0.284,1256923
0.309,622120
0.296,95991
0.284,2812755
0.284,1912848
0.272,851987
0.272,4184756
0.272,4435073
0.309,1327736
0.296,1682535
0.272,3103098
0.296,754006
0.284,222291
0.259,1486128
0.296,2803084
0.296,765439
0.321,1267484
0.284,397539
0.309,1255150
0.284,469078
0.272,1883237
0.272,6575450
0.296,203107
0.296,995184
0.272,1625129
0.284,1490410
0.296,906089
0.284,1031332
0.284,146401
0.309,235586
0.296,3770980
0.309,1190312
0.284,1404535
0.284,3001405
0.296,2333259
0.309,315511
0.284,3306045
0.259,1146207
0.284,2211449
0.296,977092
0.259,1016532
0.296,678487
0.296,1436079
0.296,163603
0.259,1620874
0.284,651208
0.259,3270012
0.296,245907
0.247,9133783
0.210,1769853
0.284,4976421
0.309,1596142
0.296,395867
0.284,478286
0.284,5208306
0.284,2263238
0.284,2612005
0.247,3944936
0.284,110279
0.284,1678105
0.284,647905
0.284,3525567
0.296,395263
0.296,924378
0.296,587919
0.296,102214
0.284,2537143
0.309,1895589
0.284,1538532
0.210,2636438
0.272,1159626
0.333,2352359
0.296,930354
0.296,439427
0.284,873996
0.284,3978521
0.284,449595
0.296,1098683
0.309,838154
0.284,4379031
0.284,3101924
0.284,1627177
0.296,371429
0.284,5199512
0.210,1829558
0.296,797486
0.309,682311
0.272,858811
0.309,821817
0.296,1597298
0.296,1400344
0.296,1568070
0.210,87825394
0.309,494474
0.284,421287
0.284,1592572
0.309,486182
0.296,4218444
0.210,2660564
0.309,210054
0.296,1319637
0.296,1519272
0.259,329938
0.296,165260
0.284,1117404
0.272,484433
0.272,9171239
0.296,336708
0.284,1502955
0.296,175846
0.296,380893
0.284,7953656
0.309,657564
0.296,492967
0.309,5169905
0.272,9044268
0.272,4969600
0.296,1061384
0.272,3479779
0.284,174539
0.309,1436818
0.296,190529
0.284,3025342
0.296,439545
0.284,3692938
0.284,4601570
0.284,2016035
0.309,674902
0.284,321378
0.272,2374263
0.284,520214
0.259,5715110
0.284,3563765
0.309,41698
0.296,406957
0.284,6969637
0.296,1093118
0.272,2626152
0.284,2781136
0.284,3529848
0.259,4328610
0.296,475799
0.296,287586
0.272,1042584
0.259,453041
0.284,338765
0.284,4503896
0.284,961599
0.296,3719279
0.210,2842420
0.296,1158265
0.284,6814285
0.309,1421751
0.296,2162974
0.296,671543
0.296,1621578
0.284,1931141
0.284,11098500
0.284,2661698
0.259,10942749
0.284,330378
0.272,39811388
0.210,80366165
0.284,429509
0.284,777160
0.284,114709
0.296,371419
0.284,1281604
0.309,453672
0.296,1179936
0.272,296880
0.321,848556
0.284,523968
0.272,721658
0.296,1171735
0.284,1185352
0.321,483529
0.309,223011
0.259,2544334
0.309,1542292
0.272,1034178
0.284,1228125
0.272,167938
0.210,22607145
0.309,1570343
0.309,753211
0.309,1430320
0.272,145448
0.272,5034810
0.296,622551
0.284,1519173
0.296,250381
0.296,874108
0.296,1927156
0.309,842455
0.296,330884
0.309,371862
0.296,333495
0.210,16814676
0.296,637102
0.309,375221
0.272,502489
0.296,297685
0.284,261280
0.309,1019260
0.284,1443200
0.309,1554543
0.272,85977
0.284,446628
0.309,1527196
0.284,1864866
0.272,1273304
0.296,2342691
0.309,1141277
0.272,428074
0.296,1208549
0.272,1348293
0.296,1097936
0.284,649911
0.309,308401
0.284,6559009
0.296,600139
0.272,1070827
0.272,2381835
0.284,626391
0.321,243114
0.309,56956
0.296,1401039
0.296,1575685
0.272,2567624
0.272,2823772
0.296,1463191
0.296,569645
0.296,1300880
0.259,732207
0.284,1567866
0.284,828387
0.284,3515135
0.296,1587226
0.284,747327
0.284,603515
0.296,1239712
0.296,476655
0.210,33382269
0.284,515578
0.259,15525347
0.309,2592446
0.284,1698914
0.284,3519241
0.210,248023
0.284,411638
0.284,759659
0.296,1632203
0.284,737082
0.272,200277
0.296,1384885
0.296,1482657
0.296,873168
0.309,274926
0.309,328578
0.296,238000
0.309,5312468
0.309,1762428
0.296,1818903
0.259,3420528
0.309,383019
0.296,932722
0.284,1084946
0.272,312915
0.272,9626763
0.309,1118856
0.284,2531374
0.272,188249
0.284,4007902
0.284,3569546
0.284,1594044
0.284,1926584
0.296,658310
0.272,1466352
0.296,611462
0.284,2208789
0.309,266288
0.272,1224601
0.321,295701
0.296,558339
0.259,2597331
0.284,1665568
0.284,99892
0.309,753592
0.284,1292696
0.284,5397256
0.309,446424
0.296,923148
0.296,572749
0.284,1967827
0.284,475239
0.284,1874240
0.210,20815865
0.309,884448
0.296,2202917
0.272,186719
0.296,180243
0.296,226046
0.284,181466
0.284,665834
0.296,1080517
0.284,2081824
0.284,243184
0.284,339529
0.321,167423
0.296,847613
0.309,592544
0.321,599156
0.284,3582810
0.284,1246426
0.272,5134304
0.296,478083
0.309,88567
0.272,3830285
0.210,7429173
0.284,139456
0.284,1660685
0.284,843275
0.284,4982673
0.321,539252
0.272,906637
0.284,825671
0.284,472048
0.296,1834986
0.272,3842420
0.296,991674
0.272,2224140
0.210,2932420
0.321,438229
0.309,109184
0.284,199960
0.296,1428667
0.284,107258
0.309,229118
0.296,1792134
0.296,308031
0.272,219407
0.284,3308343
0.272,2942608
0.284,210521
0.296,1466012
0.272,3106885
0.272,2711953
0.296,106236
0.296,587556
0.272,749044
0.296,390718
