Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.691358,1.000000,97304.000000
0.691358,1.000000,2923123.000000
0.691358,1.000000,212966.000000
0.691358,1.000000,258877.000000
0.691358,1.000000,4063296.000000
0.691358,1.000000,227487.000000
0.691358,1.000000,38075.000000
0.691358,1.000000,681197.000000
0.691358,1.000000,397767.000000
0.691358,1.000000,9250562.000000
0.691358,1.000000,1395120.000000
0.691358,1.000000,403872.000000
0.691358,1.000000,2601864.000000
0.691358,1.000000,748349.000000
0.691358,1.000000,1705077.000000
0.691358,1.000000,345770.000000
0.691358,1.000000,453181.000000
0.691358,1.000000,1092586.000000
0.691358,1.000000,161922.000000
0.691358,1.000000,703190.000000
0.691358,1.000000,250485.000000
0.691358,1.000000,88527.000000
0.691358,1.000000,738911.000000
0.691358,1.000000,117309.000000
0.691358,1.000000,682189.000000
0.691358,1.000000,445422.000000
0.691358,1.000000,128176.000000
0.691358,1.000000,290993.000000
0.691358,1.000000,1876805.000000
0.691358,1.000000,909859.000000
0.691358,1.000000,628056.000000
0.691358,1.000000,70101.000000
0.691358,1.000000,5823534.000000
0.691358,1.000000,776568.000000
0.691358,1.000000,102289.000000
0.691358,1.000000,1021287.000000
0.691358,1.000000,284571.000000
0.691358,1.000000,822447.000000
0.691358,1.000000,442570.000000
0.691358,1.000000,723426.000000
0.691358,1.000000,1985456.000000
0.691358,1.000000,180956.000000
0.691358,1.000000,2338559.000000
0.691358,1.000000,244003.000000
0.691358,1.000000,619604.000000
0.691358,1.000000,145825.000000
0.691358,1.000000,3814506.000000
0.691358,1.000000,15490591.000000
0.691358,1.000000,1023393.000000
0.691358,1.000000,132367.000000
0.691358,1.000000,1793076.000000
0.691358,1.000000,9527351.000000
0.691358,1.000000,53738.000000
0.691358,1.000000,383848.000000
0.691358,1.000000,599389.000000
0.691358,1.000000,1010931.000000
0.691358,1.000000,823811.000000
0.691358,1.000000,20192.000000
0.691358,1.000000,81236.000000
0.691358,1.000000,268832.000000
0.691358,1.000000,2922503.000000
0.691358,1.000000,84547.000000
0.691358,1.000000,18358204.000000
0.691358,1.000000,1640151.000000
0.691358,1.000000,423075.000000
0.691358,1.000000,385981.000000
0.691358,1.000000,4229263.000000
0.691358,1.000000,3928120.000000
0.691358,1.000000,4197114.000000
0.691358,1.000000,462347.000000
0.691358,1.000000,141558.000000
0.691358,1.000000,877215.000000
0.691358,1.000000,1251351.000000
0.691358,1.000000,5027298.000000
0.691358,1.000000,1634533.000000
0.691358,1.000000,161455.000000
0.691358,1.000000,196711.000000
0.691358,1.000000,111957.000000
0.691358,1.000000,2540644.000000
0.691358,1.000000,1678377.000000
0.691358,1.000000,263223.000000
0.691358,1.000000,376566.000000
0.691358,1.000000,3719509.000000
0.691358,1.000000,101976.000000
0.691358,1.000000,1733474.000000
0.691358,1.000000,26956.000000
0.691358,1.000000,948942.000000
0.691358,1.000000,1139811.000000
0.691358,1.000000,144108.000000
0.691358,1.000000,374198.000000
0.691358,1.000000,2312624.000000
0.691358,1.000000,196411.000000
0.691358,1.000000,885808.000000
0.691358,1.000000,80849.000000
0.691358,1.000000,958145.000000
0.691358,1.000000,4031470.000000
0.691358,1.000000,109507.000000
0.691358,1.000000,109838.000000
0.691358,1.000000,282209.000000
0.691358,1.000000,1679451.000000
0.691358,1.000000,112131.000000
0.691358,1.000000,443219.000000
0.691358,1.000000,121846.000000
0.691358,1.000000,4287417.000000
0.691358,1.000000,2615343.000000
0.691358,1.000000,898875.000000
0.691358,1.000000,456091.000000
0.691358,1.000000,74205.000000
0.691358,1.000000,458955.000000
0.691358,1.000000,623088.000000
0.691358,1.000000,758720.000000
0.691358,1.000000,271896.000000
0.691358,1.000000,17616.000000
0.691358,1.000000,8758457.000000
0.691358,1.000000,18627.000000
0.691358,1.000000,10280979.000000
0.691358,1.000000,174285.000000
0.691358,1.000000,2015553.000000
0.691358,1.000000,23481.000000
0.691358,1.000000,84475.000000
0.691358,1.000000,1072776.000000
0.691358,1.000000,396395.000000
0.691358,1.000000,1394295.000000
0.691358,1.000000,1963453.000000
0.691358,1.000000,1580129.000000
0.691358,1.000000,296021.000000
0.691358,1.000000,642637.000000
0.691358,1.000000,1105956.000000
0.691358,1.000000,530698.000000
0.691358,1.000000,747977.000000
0.691358,1.000000,1704249.000000
0.691358,1.000000,168687.000000
0.691358,1.000000,1165404.000000
0.691358,1.000000,57501.000000
0.691358,1.000000,3710918.000000
0.691358,1.000000,694519.000000
0.691358,1.000000,221238.000000
0.691358,1.000000,107652.000000
0.691358,1.000000,40683.000000
0.691358,1.000000,1256827.000000
0.691358,1.000000,4373111.000000
0.691358,1.000000,122516.000000
0.691358,1.000000,85383.000000
0.691358,1.000000,748626.000000
0.691358,1.000000,7378978.000000
0.691358,1.000000,374752.000000
0.691358,1.000000,4110530.000000
0.691358,1.000000,52861.000000
0.691358,1.000000,948930.000000
0.691358,1.000000,193905.000000
0.691358,1.000000,28623.000000
0.691358,1.000000,616074.000000
0.691358,1.000000,42424.000000
0.691358,1.000000,540665.000000
0.691358,1.000000,73132.000000
0.691358,1.000000,587149.000000
0.691358,1.000000,1976266.000000
0.691358,1.000000,878141.000000
0.691358,1.000000,3607095.000000
0.691358,1.000000,299056.000000
0.691358,1.000000,1002999.000000
0.691358,1.000000,1011031.000000
0.691358,1.000000,442692.000000
0.691358,1.000000,1842535.000000
0.691358,1.000000,955274.000000
0.691358,1.000000,57752.000000
0.691358,1.000000,4103475.000000
0.691358,1.000000,4580018.000000
0.691358,1.000000,3692144.000000
0.691358,1.000000,212564.000000
0.691358,1.000000,626079.000000
0.691358,1.000000,5430198.000000
0.691358,1.000000,296475.000000
0.691358,1.000000,2035096.000000
0.691358,1.000000,53345.000000
0.691358,1.000000,1509953.000000
0.691358,1.000000,81694.000000
0.691358,1.000000,351642.000000
0.691358,1.000000,64298.000000
0.691358,1.000000,596531.000000
0.691358,1.000000,673865.000000
0.691358,1.000000,1219681.000000
0.691358,1.000000,165707.000000
0.691358,1.000000,3703325.000000
0.691358,1.000000,1178767.000000
0.691358,1.000000,355927.000000
0.691358,1.000000,2076332.000000
0.691358,1.000000,1987839.000000
0.691358,1.000000,47828.000000
0.691358,1.000000,1910339.000000
0.691358,1.000000,1238107.000000
